Code,Country_name,Population
TUV,Tuvalu,11312.0
TZA,Tanzania,65497748.0
UGA,Uganda,47249585.0
UKR,Ukraine,38000000.0
URY,Uruguay,3422794.0
USA,United States,333287557.0
UZB,Uzbekistan,35648100.0
VCT,St. Vincent and the Grenadines,103948.0
VEN,"Venezuela, RB",28301696.0
VGB,British Virgin Islands,31305.0
VIR,Virgin Islands (U.S.),105413.0
VNM,Viet Nam,98186856.0
VUT,Vanuatu,326740.0
WSM,Samoa,222382.0
YEM,"Yemen, Rep.",33696614.0
ZAF,South Africa,59893885.0
ZMB,Zambia,20017675.0
ZWE,Zimbabwe,16320537.0
